id	filename	md5	size	state
a236c850-5a1a-43af-aaf6-fe0c8246a5c0	e8849876-e3f4-4527-adbb-054c7d615d61.rna_seq.augmented_star_gene_counts.tsv	e5cc118fb0f89cceb4f895603e58349c	4223781	released
cb2a6de7-fbad-4101-aeae-c191e64818ae	1c897838-071f-4911-bbb6-1b890f55d245.rna_seq.augmented_star_gene_counts.tsv	cf3a7484160692be964804c35dec850e	4238559	released
d7340acb-9a98-4153-9766-a6748933441d	c38be472-422b-4769-b86b-8010c30f1181.rna_seq.augmented_star_gene_counts.tsv	abe7e2203102d5363f233654f59e981f	4239822	released
359de6d5-cc11-4b8b-add4-7d3577d66e2c	c8eae89a-2f85-4218-ac1b-64e9304b6f58.rna_seq.augmented_star_gene_counts.tsv	ba9751dfef609e40a8ac2625543cff18	4220022	released
a40af2c3-357a-4b23-8ed8-2982f5a5ff65	9905667c-8921-4109-a0b2-7a941dfbda99.rna_seq.augmented_star_gene_counts.tsv	3d9ba6256a18c6eb6fa10e0f7665d2eb	4224406	released
06fa3d61-9460-4edf-8711-370536d645bc	40a8ea5b-887a-42aa-857f-d8871fa14746.rna_seq.augmented_star_gene_counts.tsv	dd24f6e7259792b55a870f0388f33118	4236735	released
b6a87adc-699d-41a4-b774-6b6062de6077	32801224-d7c8-411b-9e19-febffb268bd2.rna_seq.augmented_star_gene_counts.tsv	304353d86e83db2946a4033d96720259	4231409	released
5e5d8a76-04b4-4946-8715-6b61ac46783f	c5e802f3-95a1-49c6-a818-ceddefdc9b45.rna_seq.augmented_star_gene_counts.tsv	f059fe3dcbc4712680728ff676f85e47	4238484	released
698cc2fb-8b17-4b82-938d-835f703fe850	1fd7b6a0-cb2c-4357-997b-736fcd04c225.rna_seq.augmented_star_gene_counts.tsv	bae8bb1001eee54e45443f05a9053cdf	4216325	released
bab2f26d-e9ef-4faa-b834-b3025764ab2d	926708f5-a918-431c-abd8-b020b513ac66.rna_seq.augmented_star_gene_counts.tsv	83f200a1407201df96bcb14fffdfb5e2	4246922	released
fc7c869c-a5ac-45af-a397-4c6709cbc271	44a2bce5-2b2f-42cb-8c85-da3991a406e6.rna_seq.augmented_star_gene_counts.tsv	86199b64fafa9a1514e036eb78497e2a	4226396	released
4a152654-5dac-461e-a760-ebcf379b437b	e3ed5345-951a-4bcf-9801-5935494b6bab.rna_seq.augmented_star_gene_counts.tsv	96e8d06e66b0b6f6f528e1e430dcbae3	4234292	released
31721dee-f673-4ae8-9bd0-a5d2f45ae915	47364cac-f2ee-4f17-8710-a5d09e527ba4.rna_seq.augmented_star_gene_counts.tsv	06143085223f924e68775b31ec155338	4232355	released
6e8f03bd-2f61-4afc-b104-b4a512cb3a10	14ce5045-6529-4ef0-aa06-5eb47b45c354.rna_seq.augmented_star_gene_counts.tsv	4ee3be9b4c25274c466f7e916228d9d0	4248111	released
43cb9ea5-98f6-4e90-be7c-41929ebbffd1	2f86fef8-46d3-4fbc-b7f7-29e5c2d440c4.rna_seq.augmented_star_gene_counts.tsv	bac9e7fde9ecc285d4aecb9410ca239b	4226344	released
b7ee9c20-cf93-4c93-be18-623a05620ebb	8ed5e0e6-cfc7-4369-b81c-a15ce9e62294.rna_seq.augmented_star_gene_counts.tsv	57268a7970a9b0da3a69408717d44d78	4222938	released
9fa569e3-0c99-4fbb-b01a-e5e8e8115954	6a58f8a1-7f84-480b-80dd-01e429e0fea1.rna_seq.augmented_star_gene_counts.tsv	7fbdce55ae122e3f34be15b10ec5593b	4221184	released
0dd57486-1eb3-4711-b4ec-8e9de0c4c5a2	e4e132f7-bde1-4f4a-8312-fb7da8b72a58.rna_seq.augmented_star_gene_counts.tsv	54be17169c8c66baed7db0ff680756fc	4222870	released
e53ef6c8-f873-4aab-a1e4-983e5faaead1	9f9d22e9-d4d1-48c0-b2e3-1c9a1b94f71e.rna_seq.augmented_star_gene_counts.tsv	5b7aa3a323f6ba7c1493288b3779918d	4238874	released
532690cb-760c-480d-902c-2aaf768d28c5	8f3eacc0-1fd4-4c63-ac67-159b18b4cb96.rna_seq.augmented_star_gene_counts.tsv	e8bb60143326f2bdf9028ca320a6820b	4230265	released
b90c65f0-a8e2-4e44-96a6-fcaa6d71ebed	7b260caf-8c8a-4d18-a3f6-eb22d3931339.rna_seq.augmented_star_gene_counts.tsv	209f22c48d45c76fb4c52a41b088a7ea	4240135	released
7d6ccd03-8e72-4213-92e6-e919ad2b3d6e	a2c96b20-f3ad-4671-94f3-058475f0ddac.rna_seq.augmented_star_gene_counts.tsv	5cc6fdd1660ff8698c7dfd575efdc2b7	4248146	released
e33cec2a-d24a-4fef-b5c6-dba7123a6005	4fb1ff85-66c2-43a4-ae99-552e879f72e6.rna_seq.augmented_star_gene_counts.tsv	2f5123879fa077d08dd88f077d317ff8	4249359	released
79cbd304-58ee-450b-ba8b-7f0a41e5d298	732be737-29d9-430c-bc2b-60622d2c9f72.rna_seq.augmented_star_gene_counts.tsv	563a79208742d80392db0ac93123e7c2	4260193	released
01d381c7-6398-47cb-925c-078cd538852f	8fc50ee0-c87c-4c06-bc03-5309941b617f.rna_seq.augmented_star_gene_counts.tsv	240451ed153ffd7296574bad3b8f6cff	4224440	released
627e89e2-8297-482b-9e59-2382e0e66da5	e8ca791a-3a3a-4d64-b1c2-9e71a57a75d1.rna_seq.augmented_star_gene_counts.tsv	a2d7ffd2a2930fecb5579e39f147c323	4241597	released
38ea8bf7-78be-4ab2-afc2-74d38be9a01b	2cd17349-eb3f-47a3-9080-8abd563b468d.rna_seq.augmented_star_gene_counts.tsv	f1ffa4b83070fb0097b67ff498b9b8e7	4239738	released
fc84a25f-3de3-4ae1-b918-e62a1a685428	6dd8c9a1-a4d4-4fc7-a865-a2cd9ebd5f68.rna_seq.augmented_star_gene_counts.tsv	f6bd7680d3371566b56bda43457582b7	4237103	released
efb97bb0-e227-4826-aaa7-ef0503f2cf5f	23b036d0-a55f-4d73-9864-172dda56f56c.rna_seq.augmented_star_gene_counts.tsv	ae37341fd1708a8961d9875964eb4418	4244240	released
097c2575-7a0d-4d3e-ad4e-00926dcfe44a	406bda9f-fee5-4216-a6ec-655f5018f264.rna_seq.augmented_star_gene_counts.tsv	34cdbbd81cdea6064e75a1b1a17d2a78	4247232	released
3ba4be06-32ea-47aa-9f6f-2f4befd1bd6b	c328ec54-2379-4ca2-bbe9-8cdfe1d35c6b.rna_seq.augmented_star_gene_counts.tsv	f9f4b9e453af6906814b743b90fc490f	4234977	released
eeefab43-73ac-4506-9d38-587f9e6d1394	8004a475-fe8a-45bf-adb6-62bbddb6bddf.rna_seq.augmented_star_gene_counts.tsv	335c3e7e13c31753dec47e1303ac4689	4240625	released
4e8b592f-d4ac-488c-94e4-a07387ec9724	c7f6dc95-fe4a-4e0f-a7d1-e7e85e2c18fe.rna_seq.augmented_star_gene_counts.tsv	b56a27d1a0638b87d85e76fb22d4065c	4242253	released
f4e3ab79-7ff4-4d67-9b94-527c41f6c98c	e2986610-72da-4804-98b5-e82b13c1d525.rna_seq.augmented_star_gene_counts.tsv	aaff03b1ba7e0d5111adf2b397513578	4225382	released
efc448d3-a3c6-4df9-a626-907ce3d5bcfc	3eca0020-e6e2-4cee-9eb4-ff1a88762247.rna_seq.augmented_star_gene_counts.tsv	c5c0a5c8850a46fe36b7cbe201b2dc48	4234851	released
e9f5fd86-6744-43db-9b13-d9b5a57f9f4a	fc6a5385-978c-4d60-ad43-80a92bff3473.rna_seq.augmented_star_gene_counts.tsv	f7c468d73ccdf6941ede95f05848f427	4236146	released
