sample,found,gene_id,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,unstranded_count,stranded_first,stranded_second
8936f86b-336c-4f7e-b5f5-7006c4ac19b7,True,ENSG00000133019.12,5.5935,1.4196,1.2705,1023,525,500
b4de06a8-883b-4d02-afc6-d926c588c4ee,True,ENSG00000133019.12,0.3759,0.1065,0.1025,52,26,27
dfc3bc40-b667-4f75-a932-4074c0b0c408,True,ENSG00000133019.12,0.0258,0.0101,0.0109,5,4,1
9c91197a-5784-4e76-a94a-ed53ad3f02fc,True,ENSG00000133019.12,1.188,0.4293,0.5234,287,150,142
90bb68a5-2311-4e19-80d4-35bf447456cd,True,ENSG00000133019.12,3.5255,1.4968,1.3987,1166,8,1174
d396a727-e500-412a-86c7-35a3350b2353,True,ENSG00000133019.12,3.6814,1.8505,1.7578,1448,2,1454
901c6ff1-19bf-48d8-894d-766f1995a916,True,ENSG00000133019.12,0.9498,0.2929,0.2793,298,150,149
0cb4425b-6b54-44ef-8594-f91b3b13d403,True,ENSG00000133019.12,4.56,1.3079,1.2153,1468,786,687
51a41e15-b4aa-414d-97df-5ea3b2311a8f,True,ENSG00000133019.12,0.2129,0.0662,0.0687,65,36,29
b7a15790-9999-4fd2-b327-9584e1445c1f,True,ENSG00000133019.12,4.5966,2.6182,2.4029,2116,1,2130
b41c1914-0771-4d0a-b56e-41f712e65bf9,True,ENSG00000133019.12,13.7284,3.7565,3.7904,2365,1173,1200
68917e07-a850-4ebb-9ae8-9044cccd023c,True,ENSG00000133019.12,4.9187,1.41,1.3669,946,466,480
74b6cce1-6a5b-4f86-8f41-d842106bfe8f,True,ENSG00000133019.12,0.0454,0.0161,0.017,15,10,10
39cc4b89-1b55-4683-b942-f3c11111a052,True,ENSG00000133019.12,5.8056,1.9971,1.9686,1496,752,759
4b4d9eb1-5ceb-49e5-8ff2-d24ab8d60356,True,ENSG00000133019.12,5.8233,4.5405,4.3775,2743,0,2747
09e969eb-37d0-4502-ad3f-5856b6ad8f43,True,ENSG00000133019.12,0.7414,0.2551,0.273,159,95,64
5aa8c49f-b2e7-407a-bfa1-aaff68614f65,True,ENSG00000133019.12,5.5154,1.7177,1.7737,1009,517,495
76cc364e-8214-4a17-8083-9ea80e74c400,True,ENSG00000133019.12,0.0429,0.0121,0.0124,10,4,7
44eeae34-4bf4-47d8-aae4-b8916f80bb42,True,ENSG00000133019.12,5.8011,3.0452,2.8007,2471,1,2503
3d4b05f4-cce7-4dcf-a17e-6172cb81febb,True,ENSG00000133019.12,7.6683,2.6222,2.6626,1300,657,645
aa43daad-64f6-4543-b458-a60d4ba7dcf5,True,ENSG00000133019.12,3.2613,1.1998,1.348,332,186,149
ea47f0f6-aad1-4149-afb6-2026f64935f5,True,ENSG00000133019.12,0.0088,0.0029,0.0029,3,1,2
f36b3cb3-b632-43c6-a6e3-c325c9e7026f,True,ENSG00000133019.12,0.2384,0.0757,0.0618,3,0,3
4b88ba3b-6b4b-42b4-a64d-d45358cef26d,True,ENSG00000133019.12,3.3536,1.1333,1.2725,773,386,390
